NAICS,NAICS_TITLE,I_GROUP,OCC_TITLE,TOT_EMP,PCT_TOTAL,A_MEAN,A_MEDIAN,IDS,PARENTS
000000,Cross-industry,cross-industry,All Occupations,140886310.0,,58260.0,45760.0,0,
000000,Cross-industry,cross-industry,Management Occupations,8909910.0,,123370.0,102450.0,0,
000000,Cross-industry,cross-industry,Chief Executives,200480.0,,213020.0,179520.0,0,
000000,Cross-industry,cross-industry,General and Operations Managers,2984920.0,,115250.0,97970.0,0,
000000,Cross-industry,cross-industry,Legislators,44590.0,,57110.0,37270.0,0,
000000,Cross-industry,cross-industry,Advertising and Promotions Managers,22520.0,,142860.0,127150.0,0,
000000,Cross-industry,cross-industry,Marketing Managers,278690.0,,153440.0,135030.0,0,
000000,Cross-industry,cross-industry,Sales Managers,453800.0,,142390.0,127490.0,0,
000000,Cross-industry,cross-industry,Public Relations Managers,59850.0,,138000.0,125780.0,0,
000000,Cross-industry,cross-industry,Fundraising Managers,23190.0,,119400.0,100810.0,0,
000000,Cross-industry,cross-industry,Administrative Services Managers,224620.0,,113030.0,100170.0,0,
000000,Cross-industry,cross-industry,Facilities Managers,101230.0,,101970.0,97930.0,0,
000000,Cross-industry,cross-industry,Computer and Information Systems Managers,485190.0,,162930.0,159010.0,0,
000000,Cross-industry,cross-industry,Financial Managers,681070.0,,153460.0,131710.0,0,
000000,Cross-industry,cross-industry,Industrial Production Managers,192270.0,,117780.0,103150.0,0,
000000,Cross-industry,cross-industry,Purchasing Managers,69310.0,,134590.0,127150.0,0,
000000,Cross-industry,cross-industry,"Transportation, Storage, and Distribution Managers",144640.0,,105580.0,98230.0,0,
000000,Cross-industry,cross-industry,Compensation and Benefits Managers,15330.0,,139470.0,127530.0,0,
000000,Cross-industry,cross-industry,Human Resources Managers,166530.0,,136590.0,126230.0,0,
000000,Cross-industry,cross-industry,Training and Development Managers,35830.0,,128800.0,120130.0,0,
000000,Cross-industry,cross-industry,"Farmers, Ranchers, and Other Agricultural Managers",5220.0,,78440.0,73060.0,0,
000000,Cross-industry,cross-industry,Construction Managers,284750.0,,108210.0,98890.0,0,
000000,Cross-industry,cross-industry,"Education and Childcare Administrators, Preschool and Daycare",56430.0,,53800.0,47310.0,0,
000000,Cross-industry,cross-industry,"Education Administrators, Kindergarten through Secondary",274710.0,,102650.0,98420.0,0,
000000,Cross-industry,cross-industry,"Education Administrators, Postsecondary",155990.0,,111260.0,96910.0,0,
000000,Cross-industry,cross-industry,"Education Administrators, All Other",49970.0,,94730.0,90560.0,0,
000000,Cross-industry,cross-industry,Architectural and Engineering Managers,187100.0,,158970.0,152350.0,0,
000000,Cross-industry,cross-industry,Food Service Managers,210680.0,,63970.0,59440.0,0,
000000,Cross-industry,cross-industry,Gambling Managers,3660.0,,89190.0,76910.0,0,
000000,Cross-industry,cross-industry,"Entertainment and Recreation Managers, Except Gambling",17800.0,,73810.0,62000.0,0,
000000,Cross-industry,cross-industry,Lodging Managers,35920.0,,67770.0,59430.0,0,
000000,Cross-industry,cross-industry,Medical and Health Services Managers,436770.0,,119840.0,101340.0,0,
000000,Cross-industry,cross-industry,Natural Sciences Managers,74760.0,,156110.0,137900.0,0,
000000,Cross-industry,cross-industry,Postmasters and Mail Superintendents,12750.0,,81820.0,80250.0,0,
000000,Cross-industry,cross-industry,"Property, Real Estate, and Community Association Managers",234680.0,,70030.0,59230.0,0,
000000,Cross-industry,cross-industry,Social and Community Service Managers,156400.0,,76790.0,74000.0,0,
000000,Cross-industry,cross-industry,Emergency Management Directors,10320.0,,84800.0,76730.0,0,
000000,Cross-industry,cross-industry,Funeral Home Managers,12710.0,,82900.0,74000.0,0,
000000,Cross-industry,cross-industry,"Personal Service Managers, All Other",7350.0,,59580.0,60360.0,0,
000000,Cross-industry,cross-industry,"Managers, All Other",497890.0,,129710.0,124650.0,0,
000000,Cross-industry,cross-industry,Business and Financial Operations Occupations,9053790.0,,82610.0,76570.0,0,
000000,Cross-industry,cross-industry,"Agents and Business Managers of Artists, Performers, and Athletes",12480.0,,116410.0,78410.0,0,
000000,Cross-industry,cross-industry,Buyers and Purchasing Agents,439020.0,,72540.0,63470.0,0,
000000,Cross-industry,cross-industry,"Claims Adjusters, Examiners, and Investigators",278140.0,,70960.0,65080.0,0,
000000,Cross-industry,cross-industry,"Insurance Appraisers, Auto Damage",11430.0,,68180.0,62680.0,0,
000000,Cross-industry,cross-industry,Compliance Officers,334340.0,,75810.0,71650.0,0,
000000,Cross-industry,cross-industry,Cost Estimators,208950.0,,73740.0,65170.0,0,
000000,Cross-industry,cross-industry,Human Resources Specialists,740830.0,,70720.0,62290.0,0,
000000,Cross-industry,cross-industry,Farm Labor Contractors,440.0,,54400.0,47770.0,0,
000000,Cross-industry,cross-industry,Labor Relations Specialists,63810.0,,77070.0,77010.0,0,
000000,Cross-industry,cross-industry,Logisticians,189320.0,,79230.0,77030.0,0,
000000,Cross-industry,cross-industry,Project Management Specialists,743860.0,,98420.0,94500.0,0,
000000,Cross-industry,cross-industry,Management Analysts,768450.0,,100530.0,93000.0,0,
000000,Cross-industry,cross-industry,"Meeting, Convention, and Event Planners",98150.0,,57850.0,49470.0,0,
000000,Cross-industry,cross-industry,Fundraisers,82080.0,,64870.0,60660.0,0,
000000,Cross-industry,cross-industry,"Compensation, Benefits, and Job Analysis Specialists",87750.0,,73810.0,64120.0,0,
000000,Cross-industry,cross-industry,Training and Development Specialists,336030.0,,67620.0,61570.0,0,
000000,Cross-industry,cross-industry,Market Research Analysts and Marketing Specialists,727540.0,,76080.0,63920.0,0,
000000,Cross-industry,cross-industry,"Business Operations Specialists, All Other",1030330.0,,79240.0,74670.0,0,
000000,Cross-industry,cross-industry,Accountants and Auditors,1318550.0,,83980.0,77250.0,0,
000000,Cross-industry,cross-industry,Property Appraisers and Assessors,58340.0,,70050.0,61340.0,0,
000000,Cross-industry,cross-industry,Budget Analysts,47440.0,,84240.0,79940.0,0,
000000,Cross-industry,cross-industry,Credit Analysts,68770.0,,88030.0,77440.0,0,
000000,Cross-industry,cross-industry,Financial and Investment Analysts,291880.0,,103020.0,91580.0,0,
000000,Cross-industry,cross-industry,Personal Financial Advisors,263030.0,,119960.0,94170.0,0,
000000,Cross-industry,cross-industry,Insurance Underwriters,107690.0,,79940.0,76390.0,0,
000000,Cross-industry,cross-industry,Financial Risk Specialists,54320.0,,110610.0,100000.0,0,
000000,Cross-industry,cross-industry,Financial Examiners,60750.0,,96180.0,81410.0,0,
000000,Cross-industry,cross-industry,Credit Counselors,31230.0,,50430.0,47580.0,0,
000000,Cross-industry,cross-industry,Loan Officers,340170.0,,80570.0,63380.0,0,
000000,Cross-industry,cross-industry,"Tax Examiners and Collectors, and Revenue Agents",52270.0,,63200.0,56780.0,0,
000000,Cross-industry,cross-industry,Tax Preparers,83190.0,,51080.0,46290.0,0,
000000,Cross-industry,cross-industry,"Financial Specialists, All Other",123200.0,,80370.0,73240.0,0,
000000,Cross-industry,cross-industry,Computer and Mathematical Occupations,4654750.0,,99860.0,97540.0,0,
000000,Cross-industry,cross-industry,Computer Systems Analysts,505150.0,,102210.0,99270.0,0,
000000,Cross-industry,cross-industry,Information Security Analysts,157220.0,,113270.0,102600.0,0,
000000,Cross-industry,cross-industry,Computer and Information Research Scientists,30840.0,,142650.0,131490.0,0,
000000,Cross-industry,cross-industry,Computer Network Support Specialists,176200.0,,71350.0,62760.0,0,
000000,Cross-industry,cross-industry,Computer User Support Specialists,654310.0,,57650.0,49770.0,0,
000000,Cross-industry,cross-industry,Computer Network Architects,168830.0,,120650.0,120520.0,0,
000000,Cross-industry,cross-industry,Database Administrators,85870.0,,96550.0,96710.0,0,
000000,Cross-industry,cross-industry,Database Architects,50440.0,,121840.0,123430.0,0,
000000,Cross-industry,cross-industry,Network and Computer Systems Administrators,316760.0,,91250.0,80600.0,0,
000000,Cross-industry,cross-industry,Computer Programmers,152610.0,,96650.0,93000.0,0,
000000,Cross-industry,cross-industry,Software Developers,1364180.0,,120990.0,120730.0,0,
000000,Cross-industry,cross-industry,Software Quality Assurance Analysts and Testers,190120.0,,97710.0,98220.0,0,
000000,Cross-industry,cross-industry,Web Developers,84820.0,,81320.0,77030.0,0,
000000,Cross-industry,cross-industry,Web and Digital Interface Designers,82380.0,,95460.0,79890.0,0,
000000,Cross-industry,cross-industry,"Computer Occupations, All Other",370190.0,,98180.0,95270.0,0,
000000,Cross-industry,cross-industry,Actuaries,23040.0,,125300.0,105900.0,0,
000000,Cross-industry,cross-industry,Mathematicians,1770.0,,112430.0,108100.0,0,
000000,Cross-industry,cross-industry,Operations Research Analysts,98700.0,,95830.0,82360.0,0,
000000,Cross-industry,cross-industry,Statisticians,31370.0,,99450.0,95570.0,0,
000000,Cross-industry,cross-industry,Data Scientists,105980.0,,108660.0,100910.0,0,
000000,Cross-industry,cross-industry,"Mathematical Science Occupations, All Other",3970.0,,77960.0,62460.0,0,
000000,Cross-industry,cross-industry,Architecture and Engineering Occupations,2436520.0,,91740.0,79840.0,0,
000000,Cross-industry,cross-industry,"Architects, Except Landscape and Naval",100400.0,,91900.0,80180.0,0,
000000,Cross-industry,cross-industry,Landscape Architects,17430.0,,74980.0,67950.0,0,
000000,Cross-industry,cross-industry,Cartographers and Photogrammetrists,12610.0,,73510.0,68900.0,0,
000000,Cross-industry,cross-industry,Surveyors,46390.0,,68880.0,61600.0,0,
000000,Cross-industry,cross-industry,Aerospace Engineers,56640.0,,122970.0,122270.0,0,
000000,Cross-industry,cross-industry,Agricultural Engineers,1120.0,,87350.0,82640.0,0,
000000,Cross-industry,cross-industry,Bioengineers and Biomedical Engineers,17190.0,,101020.0,97410.0,0,
000000,Cross-industry,cross-industry,Chemical Engineers,24180.0,,121840.0,105550.0,0,
000000,Cross-industry,cross-industry,Civil Engineers,304310.0,,95490.0,88050.0,0,
000000,Cross-industry,cross-industry,Computer Hardware Engineers,73750.0,,136230.0,128170.0,0,
000000,Cross-industry,cross-industry,Electrical Engineers,186020.0,,107890.0,100420.0,0,
000000,Cross-industry,cross-industry,"Electronics Engineers, Except Computer",107170.0,,115490.0,104820.0,0,
000000,Cross-industry,cross-industry,Environmental Engineers,42660.0,,100220.0,96820.0,0,
000000,Cross-industry,cross-industry,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",22870.0,,99700.0,99040.0,0,
000000,Cross-industry,cross-industry,Industrial Engineers,293950.0,,95200.0,95300.0,0,
000000,Cross-industry,cross-industry,Marine Engineers and Naval Architects,7380.0,,97820.0,93370.0,0,
000000,Cross-industry,cross-industry,Materials Engineers,21530.0,,101950.0,98300.0,0,
000000,Cross-industry,cross-industry,Mechanical Engineers,278240.0,,97000.0,95300.0,0,
000000,Cross-industry,cross-industry,"Mining and Geological Engineers, Including Mining Safety Engineers",7370.0,,100450.0,97090.0,0,
000000,Cross-industry,cross-industry,Nuclear Engineers,12670.0,,121760.0,120380.0,0,
000000,Cross-industry,cross-industry,Petroleum Engineers,22100.0,,145720.0,130850.0,0,
000000,Cross-industry,cross-industry,"Engineers, All Other",151940.0,,107800.0,100640.0,0,
000000,Cross-industry,cross-industry,Architectural and Civil Drafters,101310.0,,60620.0,60340.0,0,
000000,Cross-industry,cross-industry,Electrical and Electronics Drafters,20830.0,,67090.0,61510.0,0,
